|Project|commit|codeLink|CWE ID|CVE ID|future_commit_id|fix_time|start|end
58|ImageMagick|a5eeacb1bd5536f4f53f36e4ad6fa50b4b1261ca|https://github.com/ImageMagick/ImageMagick/commit/a5eeacb1bd5536f4f53f36e4ad6fa50b4b1261ca|CWE-401|CVE-2019-13137|7cabb3014e971c603cce0302dbb35ac11738f94c|1828|2014-10-25 06:32:14+00:00|2019-10-27 12:55:09-04:00
11|ImageMagick|78f82d9d1c2944725a279acd573a22168dc6e22a|https://github.com/ImageMagick/ImageMagick/commit/78f82d9d1c2944725a279acd573a22168dc6e22a|CWE-119|CVE-2015-8957|ffb9daf05acebfc8cec9fd205d1b75001bbe2f66|383|2015-01-06 12:13:31+00:00|2016-01-24 19:23:27-05:00
19|ImageMagick|b8f17d08b7418204bf8a05a5c24e87b2fc395b75|https://github.com/ImageMagick/ImageMagick/commit/b8f17d08b7418204bf8a05a5c24e87b2fc395b75|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e|506|2015-01-10 14:10:16+00:00|2016-05-31 07:24:13+02:00
1|ImageMagick|1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f|https://github.com/ImageMagick/ImageMagick/commit/1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f|CWE-125|CVE-2015-8958|2174484dfa68a594e2f9ad17f46217b6120db18d|365|2015-01-13 02:23:43+00:00|2016-01-13 18:31:21-05:00
7|ImageMagick|6b4aff0f117b978502ee5bcd6e753c17aec5a961|https://github.com/ImageMagick/ImageMagick/commit/6b4aff0f117b978502ee5bcd6e753c17aec5a961|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e|503|2015-01-13 12:16:28+00:00|2016-05-31 07:24:13+02:00
15|ImageMagick|8ea44b48a182dd46d018f4b4f09a5e2ee9638105|https://github.com/ImageMagick/ImageMagick/commit/8ea44b48a182dd46d018f4b4f09a5e2ee9638105|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e|503|2015-01-13 13:31:27+00:00|2016-05-31 07:24:13+02:00
4|ImageMagick|2ad6d33493750a28a5a655d319a8e0b16c392de1|https://github.com/ImageMagick/ImageMagick/commit/2ad6d33493750a28a5a655d319a8e0b16c392de1|CWE-125|CVE-2016-7515|2174484dfa68a594e2f9ad17f46217b6120db18d|100|2015-10-05 22:11:31+02:00|2016-01-13 18:31:21-05:00
9|ImageMagick|6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d|https://github.com/ImageMagick/ImageMagick/commit/6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d|CWE-125|CVE-2016-7514|533ea3b9047c67f9af49703de672f6c2e443f747|29|2016-01-15 01:13:19+01:00|2016-02-12 20:59:16-05:00
3|ImageMagick|280215b9936d145dd5ee91403738ccce1333cab1|https://github.com/ImageMagick/ImageMagick/commit/280215b9936d145dd5ee91403738ccce1333cab1|CWE-125|CVE-2016-7514|c6e0187105ab20b12bbc661f01b54e4894e92a5b|41|2016-01-16 00:08:11+01:00|2016-02-26 09:55:24+01:00
20|ImageMagick|c4e63ad30bc42da691f2b5f82a24516dd6b4dc70|https://github.com/ImageMagick/ImageMagick/commit/c4e63ad30bc42da691f2b5f82a24516dd6b4dc70|CWE-369|CVE-2016-7530|92ea28bd83a2eb14daced56f986823c7cad1077d|17|2016-01-30 09:37:10-05:00|2016-02-17 08:34:19-05:00
5|ImageMagick|4f2c04ea6673863b87ac7f186cbb0d911f74085c|https://github.com/ImageMagick/ImageMagick/commit/4f2c04ea6673863b87ac7f186cbb0d911f74085c|CWE-125|CVE-2016-7532|4812e816a9c3da93003aaea1d0b1db9ccf8ce40d|120|2016-02-02 21:35:45+01:00|2016-06-02 21:33:18+02:00
41|ImageMagick|533ea3b9047c67f9af49703de672f6c2e443f747|https://github.com/ImageMagick/ImageMagick/commit/533ea3b9047c67f9af49703de672f6c2e443f747|CWE-787|CVE-2016-7535|ed7cd70a3fbd8fbe657d5d5a18cd70a01c5d5858|216|2016-02-12 20:59:16-05:00|2016-09-16 22:12:50+02:00
49|ImageMagick|7b93db1807ef8abf0c81df8b0fd047e5fb3f1c3f|https://github.com/ImageMagick/ImageMagick/commit/7b93db1807ef8abf0c81df8b0fd047e5fb3f1c3f|CWE-787|CVE-2016-7531|6d202a0514fb6a406456b8b728cde776becb25f8|15|2016-02-20 09:26:04-05:00|2016-03-07 07:13:10-05:00
59|ImageMagick|a6240a163cb787909703d9fc649cf861f60ddd7c|https://github.com/ImageMagick/ImageMagick/commit/a6240a163cb787909703d9fc649cf861f60ddd7c|CWE-125||f3362b2383b697b32ea18b0de7b84b5824e9f652|431|2016-02-20 09:51:04-05:00|2017-04-26 16:38:25-04:00
10|ImageMagick|726812fa2fa7ce16bcf58f6e115f65427a1c0950|https://github.com/ImageMagick/ImageMagick/commit/726812fa2fa7ce16bcf58f6e115f65427a1c0950|CWE-119|CVE-2016-4564|4280d5421ce48482a67e07bcfdd2f98d6ce9f116|37|2016-05-04 19:09:35-04:00|2016-06-11 12:48:49-04:00
68|ImageMagick|c1cf4802653970c050d175a6496fa1f11b7c089e|https://github.com/ImageMagick/ImageMagick/commit/c1cf4802653970c050d175a6496fa1f11b7c089e|CWE-190|CVE-2016-6823|07947e82daccc308f815e36e4cb825ee1c3ac8b4|704|2016-06-03 16:48:12-04:00|2018-05-08 20:45:08-04:00
8|ImageMagick|6e48aa92ff4e6e95424300ecd52a9ea453c19c60|https://github.com/ImageMagick/ImageMagick/commit/6e48aa92ff4e6e95424300ecd52a9ea453c19c60|CWE-119|CVE-2016-8677|052f6c22d3a2b2aae9dfa24aff9ccdf8b72ace91|554|2016-09-15 20:24:46-04:00|2018-03-24 12:41:12-04:00
62|ImageMagick|aea6c6507f55632829e6432f8177a084a57c9fcc|https://github.com/ImageMagick/ImageMagick/commit/aea6c6507f55632829e6432f8177a084a57c9fcc|CWE-119|CVE-2016-8862|ab2c9d6a8dd6d71b161ec9cc57a588b116b52322|44|2016-10-07 17:01:22-04:00|2016-11-21 20:53:03+01:00
75|ImageMagick|e5fd9ab1b70b2edd06de8efb606e04482cb9a2f0|https://github.com/ImageMagick/ImageMagick/commit/e5fd9ab1b70b2edd06de8efb606e04482cb9a2f0|CWE-787|CVE-2016-8707|32a3eeb9e0da083cbc05909e4935efdbf9846df9|279|2016-12-01 20:06:50-05:00|2017-09-07 07:22:25-04:00
42|ImageMagick|53ff6cadfa2051296d3bd67c06a693043222c4d6|https://github.com/ImageMagick/ImageMagick/commit/53ff6cadfa2051296d3bd67c06a693043222c4d6|CWE-772|CVE-2017-9409|dc447a2c3cf8a4de8023b0d12c0768d5222e2cb2|68|2017-05-02 08:38:06+02:00|2017-07-09 08:17:13-04:00
12|ImageMagick|7fd419441bc7103398e313558171d342c6315f44|https://github.com/ImageMagick/ImageMagick/commit/7fd419441bc7103398e313558171d342c6315f44|CWE-617|CVE-2017-9499|399631650b38eaf21c2f3c306b8b74e66be6a0d2|115|2017-05-15 21:43:29+02:00|2017-09-08 06:16:15-04:00
77|ImageMagick|e9728345edd0141b4724e54832103055a94708b8|https://github.com/ImageMagick/ImageMagick/commit/e9728345edd0141b4724e54832103055a94708b8|CWE-834|CVE-2017-11188|a09307224c224a12739587bc5bd38681b1557a35|204|2017-06-08 09:09:28-04:00|2017-12-29 14:48:04-05:00
14|ImageMagick|8ca35831e91c3db8c6d281d09b605001003bec08|https://github.com/ImageMagick/ImageMagick/commit/8ca35831e91c3db8c6d281d09b605001003bec08|CWE-772|CVE-2017-11310|d949a3258bdb9b7f363f7739761352d222c840be|291|2017-06-22 13:05:22-04:00|2018-04-09 23:42:10+02:00
26|ImageMagick|078e9692a257e7a8aa36ccc750927f9617923061|https://github.com/ImageMagick/ImageMagick/commit/078e9692a257e7a8aa36ccc750927f9617923061|CWE-834|CVE-2017-11360|300fdbcfd2f8416ab810d18db92438183d4c6e71|395|2017-06-23 08:58:33-04:00|2018-07-23 14:41:43-04:00
47|ImageMagick|787ee25e9fb0e4e0509121342371d925fe5044f8|https://github.com/ImageMagick/ImageMagick/commit/787ee25e9fb0e4e0509121342371d925fe5044f8|CWE-835|CVE-2017-11446|7beec9a7a8a5701652b313e6e94bafd36b3627dc|2|2017-07-04 14:17:55-04:00|2017-07-07 07:06:39-04:00
48|ImageMagick|787f9dc99c8d186ae26ed53ddec54bd0a6f90852|https://github.com/ImageMagick/ImageMagick/commit/787f9dc99c8d186ae26ed53ddec54bd0a6f90852|CWE-125|CVE-2017-10928|14cdd5a967cdb2edcad2bac8bd0e63ef47800ca7|500|2017-07-04 19:40:07-04:00|2018-11-17 14:29:16-05:00
63|ImageMagick|b2b48d50300a9fbcd0aa0d9230fd6d7a08f7671e|https://github.com/ImageMagick/ImageMagick/commit/b2b48d50300a9fbcd0aa0d9230fd6d7a08f7671e|CWE-772|CVE-2017-12428|2154275001219fbeed12119d4f0018929f5d0acf|10|2017-07-06 06:12:37-04:00|2017-07-16 14:59:56-04:00
32|ImageMagick|30a74ed25a4890acfa94f452d653d54c9628c87e|https://github.com/ImageMagick/ImageMagick/commit/30a74ed25a4890acfa94f452d653d54c9628c87e|CWE-770|CVE-2017-12429|98e5d0001cda195da0e8ea7650ab85c6f8333ff5|0|2017-07-06 06:17:54-04:00|2017-07-06 06:22:27-04:00
64|ImageMagick|b76b2ffff70f2c314a069ea953f4a45b1e2ce5e6|https://github.com/ImageMagick/ImageMagick/commit/b76b2ffff70f2c314a069ea953f4a45b1e2ce5e6|CWE-617|CVE-2017-12434|bfb7915d4b2e11acb6a819e451c382dc645277db|3|2017-07-06 08:10:23-04:00|2017-07-09 08:24:18-04:00
31|ImageMagick|2ba8f335fa06daf1165e0878462686028e633a74|https://github.com/ImageMagick/ImageMagick/commit/2ba8f335fa06daf1165e0878462686028e633a74|CWE-703,CWE-772||df8a62fe4938aa41a39e815937c58bc0ed21b664|249|2017-07-17 19:09:14-04:00|2018-03-24 12:46:58-04:00
65|ImageMagick|bd40cc5f53067322861b881485cbd70f509f3829|https://github.com/ImageMagick/ImageMagick/commit/bd40cc5f53067322861b881485cbd70f509f3829|CWE-772,CWE-401||306c1f0fa5754ca78efd16ab752f0e981d4f6b82|551|2017-07-17 19:15:49-04:00|2019-01-20 10:17:27-05:00
60|ImageMagick|a6802e21d824e786d1e2a8440cf749a6e1a8d95f|https://github.com/ImageMagick/ImageMagick/commit/a6802e21d824e786d1e2a8440cf749a6e1a8d95f|CWE-772|CVE-2017-11644|ff3faa31166439d81b72de22daea2b6404569137|4|2017-07-18 18:28:29-04:00|2017-07-23 10:35:56-04:00
71|ImageMagick|d0a4c1ff333d60984a5d6bdfd98774bfdd8a7cba|https://github.com/ImageMagick/ImageMagick/commit/d0a4c1ff333d60984a5d6bdfd98774bfdd8a7cba|CWE-125|CVE-2017-11639|65b7c57502bb2b6d22f607383e87cc3eaed94014|6|2017-07-19 07:25:36-04:00|2017-07-26 06:46:02-04:00
13|ImageMagick|83e0f8ffd7eeb7661b0ff83257da23d24ca7f078|https://github.com/ImageMagick/ImageMagick/commit/83e0f8ffd7eeb7661b0ff83257da23d24ca7f078|CWE-835|CVE-2017-11523|088df0ef758199e4f1101d397dde4eaf6aedd9df|1024|2017-07-19 13:16:53-04:00|2020-05-08 18:55:23-04:00
23|ImageMagick|e793eb203e5e0f91f5037aed6585e81b1e27395b|https://github.com/ImageMagick/ImageMagick/commit/e793eb203e5e0f91f5037aed6585e81b1e27395b|CWE-772|CVE-2017-12427|3755d2289b032919c065f6ab11ef570063f7f828|147|2017-08-01 07:05:17-04:00|2017-12-26 10:59:58-05:00
70|ImageMagick|cb63560ba25e4a6c51ab282538c24877fff7d471|https://github.com/ImageMagick/ImageMagick/commit/cb63560ba25e4a6c51ab282538c24877fff7d471|CWE-400|CVE-2017-14137|06ccb0ccdcca8219862a05c5589329903473235f|0|2017-08-02 06:59:15-04:00|2017-08-02 18:53:38-04:00
38|ImageMagick|46382526a3f09cebf9f2af680fc55b2a668fcbef|https://github.com/ImageMagick/ImageMagick/commit/46382526a3f09cebf9f2af680fc55b2a668fcbef|CWE-772|CVE-2017-12418|45131f6133847d8494e8916c9ac12284cdbf6226|8|2017-08-02 09:51:09-04:00|2017-08-11 10:47:46+02:00
72|ImageMagick|d3144a8be81aed6e635de68f0d8e97881638a398|https://github.com/ImageMagick/ImageMagick/commit/d3144a8be81aed6e635de68f0d8e97881638a398|CWE-772|CVE-2017-18029|a43f4155ee916fbed080acd534232a9d2396b5b5|14|2017-08-22 17:42:07-04:00|2017-09-06 12:07:01-04:00
57|ImageMagick|a43f4155ee916fbed080acd534232a9d2396b5b5|https://github.com/ImageMagick/ImageMagick/commit/a43f4155ee916fbed080acd534232a9d2396b5b5|CWE-772|CVE-2017-18027|dfefe8de5068a547ae4097c69456f02f93935164|1|2017-09-06 12:07:01-04:00|2017-09-08 06:23:10-04:00
35|ImageMagick|32a3eeb9e0da083cbc05909e4935efdbf9846df9|https://github.com/ImageMagick/ImageMagick/commit/32a3eeb9e0da083cbc05909e4935efdbf9846df9|CWE-770|CVE-2017-18028|d08250ec50eef2fd279f6fed859f50d051e58b53|646|2017-09-07 07:22:25-04:00|2019-06-15 19:46:59-04:00
44|ImageMagick|60e52517ff86a451a85cac3eaba2016e80668297|https://github.com/ImageMagick/ImageMagick/commit/60e52517ff86a451a85cac3eaba2016e80668297|CWE-125|CVE-2017-14607|23f6beef78cfe806cabc090a015e73557d60788e|178|2017-09-19 06:50:50-04:00|2018-03-16 21:07:17-04:00
28|ImageMagick|12f34b60564de1cbec08e23e2413dab5b64daeb7|https://github.com/ImageMagick/ImageMagick/commit/12f34b60564de1cbec08e23e2413dab5b64daeb7|CWE-617|CVE-2017-18252|76fdecd663409a50e6a509239f7ced405ecf4a64|195|2017-09-30 10:15:29-04:00|2018-04-13 19:36:20-04:00
2|ImageMagick|2130bf6f89ded32ef0c88a11694f107c52566c53|https://github.com/ImageMagick/ImageMagick/commit/2130bf6f89ded32ef0c88a11694f107c52566c53|CWE-119|CVE-2017-16546|fc25040471ee40b11c5bdecb3b2efd5457c54022|130|2017-11-04 10:55:48-04:00|2018-03-14 20:56:35-04:00
25|ImageMagick|06c8dd4de59e48d282d4f224faa64ab9012a711a|https://github.com/ImageMagick/ImageMagick/commit/06c8dd4de59e48d282d4f224faa64ab9012a711a|CWE-400|CVE-2017-17682|a7f42e484ef1a1ff74936bcedc87347208779c91|243|2017-11-20 07:46:28-05:00|2018-07-21 09:11:58-04:00
78|ImageMagick|ece953bbe14e8514afc23e05e4030eea872e29da|https://github.com/ImageMagick/ImageMagick/commit/ece953bbe14e8514afc23e05e4030eea872e29da|CWE-772|CVE-2017-17881|e55dc76263d03dafe5cb43bd7a0d7673f09214d4|30|2017-11-24 09:23:04-05:00|2017-12-25 08:14:40-05:00
43|ImageMagick|5c0e1a31bc44829b1024ce599097f43285a05a42|https://github.com/ImageMagick/ImageMagick/commit/5c0e1a31bc44829b1024ce599097f43285a05a42|CWE-770|CVE-2018-7443|27c64666c249fbf2fa8407b841291769dc1a85ff|267|2018-02-23 05:28:15-05:00|2018-11-17 16:15:29-05:00
46|ImageMagick|74f8b6cb2d31651cd34d2830f570979f7db882e0|https://github.com/ImageMagick/ImageMagick/commit/74f8b6cb2d31651cd34d2830f570979f7db882e0|CWE-772|CVE-2018-17966|43f70257c4064b93ed8be1f20e4bd7c33e14a84a|202|2018-03-24 12:44:43-04:00|2018-10-13 11:09:28-04:00
74|ImageMagick|df8a62fe4938aa41a39e815937c58bc0ed21b664|https://github.com/ImageMagick/ImageMagick/commit/df8a62fe4938aa41a39e815937c58bc0ed21b664|CWE-772|CVE-2018-18016|284cc352cee41a2df151a7f1a1caa63a5ae7abed|202|2018-03-24 12:46:58-04:00|2018-10-13 11:05:36-04:00
40|ImageMagick|5294966898532a6bd54699fbf04edf18902513ac|https://github.com/ImageMagick/ImageMagick/commit/5294966898532a6bd54699fbf04edf18902513ac|CWE-125|CVE-2018-11625|c111ed9b035532c2c81ea569f2d22fded9517287|312|2018-05-30 18:47:30-04:00|2019-04-08 18:36:29-04:00
39|ImageMagick|4b352c0be410ad900469a079e389178f878aded8|https://github.com/ImageMagick/ImageMagick/commit/4b352c0be410ad900469a079e389178f878aded8|CWE-772|CVE-2018-14436|bb3acad195de95db86c7509d8072db01890470e0|469|2018-07-04 14:21:29-04:00|2019-10-16 19:36:32-04:00
27|ImageMagick|082223fb992448dbb574747deac9a30f986c116e|https://github.com/ImageMagick/ImageMagick/commit/082223fb992448dbb574747deac9a30f986c116e|CWE-772|CVE-2018-14437|613825111d639ee48334cfea4b1817f9f5c4f55d|2350|2018-07-04 14:24:47-04:00|2024-12-09 23:11:31+01:00
0|ImageMagick|16916c8979c32765c542e216b31cee2671b7afe7|https://github.com/ImageMagick/ImageMagick/commit/16916c8979c32765c542e216b31cee2671b7afe7|CWE-20|CVE-2018-16644|5b7b55faeba3767bd0362c46226973561bd8a7df|3|2018-08-27 19:30:14-04:00|2018-08-30 19:50:53-04:00
18|ImageMagick|afa878a689870c28b6994ecf3bb8dbfb2b76d135|https://github.com/ImageMagick/ImageMagick/commit/afa878a689870c28b6994ecf3bb8dbfb2b76d135|CWE-20|CVE-2018-16644|6c57bd013576b6017c98b635811a5b3b4d86e8dd|746|2018-08-27 19:35:15-04:00|2020-09-12 08:11:26-04:00
30|ImageMagick|23acdce3651447328c6ef71ede20ee60637ba39d|https://github.com/ImageMagick/ImageMagick/commit/23acdce3651447328c6ef71ede20ee60637ba39d|CWE-400|CVE-2018-15607|c8362214aca7af3d7af410a2c6fd87fa41cbf0f0|1176|2018-09-01 07:29:53-04:00|2021-11-20 08:56:46-05:00
69|ImageMagick|c9c4ef4e7ca83d8a00effd16723f37946e89fbad|https://github.com/ImageMagick/ImageMagick/commit/c9c4ef4e7ca83d8a00effd16723f37946e89fbad|CWE-772|CVE-2018-18544|112675fe4dbc70b73f6b063d2312f453b5e700f7|373|2018-10-20 10:02:45+02:00|2019-10-28 14:52:01-04:00
6|ImageMagick|58d9c46929ca0828edde34d263700c3a5fe8dc3c|https://github.com/ImageMagick/ImageMagick/commit/58d9c46929ca0828edde34d263700c3a5fe8dc3c|CWE-125|CVE-2019-10714|2f287f41eda67c8efd9c68b859d07eac98473b86|608|2019-03-04 19:59:09-05:00|2020-11-02 22:58:37+00:00
79|ImageMagick|ee3dae8624e69261760754442827aea4d0254a6f|https://github.com/ImageMagick/ImageMagick/commit/ee3dae8624e69261760754442827aea4d0254a6f|CWE-665|CVE-2019-12979|42ddb98ee68ac63f2df5f80bc631ec3c289b2a5c|938|2019-03-23 14:05:14-04:00|2021-10-17 08:17:29-04:00
67|ImageMagick|c111ed9b035532c2c81ea569f2d22fded9517287|https://github.com/ImageMagick/ImageMagick/commit/c111ed9b035532c2c81ea569f2d22fded9517287|CWE-125|CVE-2019-11598|7dbf5b259e39e76197035e1e58d8392d4712d1b1|32|2019-04-08 18:36:29-04:00|2019-05-11 08:26:39-04:00
61|ImageMagick|a903bb5faf8993f5904643ec7e329dca6ff6ed99|https://github.com/ImageMagick/ImageMagick/commit/a903bb5faf8993f5904643ec7e329dca6ff6ed99|CWE-125|CVE-2019-15141|4bb0afabfcbf9123f95a787db9b10af791dd1dc7|269|2019-04-28 09:26:02-04:00|2020-01-22 20:35:36-05:00
17|ImageMagick|a906fe9298bf89e01d5272023db687935068849a|https://github.com/ImageMagick/ImageMagick/commit/a906fe9298bf89e01d5272023db687935068849a|CWE-119|CVE-2019-13300|025e77fcb2f45b21689931ba3bf74eac153afa48|5|2019-06-16 14:35:14-04:00|2019-06-22 08:24:14-04:00
22|ImageMagick|d5089971bd792311aaab5cb73460326d7ef7f32d|https://github.com/ImageMagick/ImageMagick/commit/d5089971bd792311aaab5cb73460326d7ef7f32d|CWE-125|CVE-2019-13302|084c7d3587f0f10ad6eee880d1088c90fd393734|264|2019-06-17 09:13:34-04:00|2020-03-08 07:46:28-04:00
21|ImageMagick|ce08a3691a8ac29125e29fc41967b3737fa3f425|https://github.com/ImageMagick/ImageMagick/commit/ce08a3691a8ac29125e29fc41967b3737fa3f425|CWE-399|CVE-2019-13296|4a334bbf5584de37c6f5a47c380a531c8c4b140a|13|2019-06-18 15:17:06-04:00|2019-07-01 19:53:59-04:00
16|ImageMagick|a7759f410b773a1dd57b0e1fb28112e1cd8b97bc|https://github.com/ImageMagick/ImageMagick/commit/a7759f410b773a1dd57b0e1fb28112e1cd8b97bc|CWE-125|CVE-2019-13295|604588fc35c7585abb7a9e71f69bb82e4389fefc|0|2019-06-21 16:51:38-04:00|2019-06-21 17:30:31-04:00
50|ImageMagick|8187d2d8fd010d2d6b1a3a8edd935beec404dddc|https://github.com/ImageMagick/ImageMagick/commit/8187d2d8fd010d2d6b1a3a8edd935beec404dddc|CWE-20,CWE-125||d4fc44b58a14f76b1ac997517d742ee12c9dc5d3|0|2019-06-21 18:49:58-04:00|2019-06-21 20:41:29-04:00
24|ImageMagick|e92040ea6ee2a844ebfd2344174076795a4787bd|https://github.com/ImageMagick/ImageMagick/commit/e92040ea6ee2a844ebfd2344174076795a4787bd|CWE-119|CVE-2019-13306|29efd648f38b73a64d73f14cd2019d869a585888|0|2019-06-21 20:17:04-04:00|2019-06-21 20:27:29-04:00
55|ImageMagick|933bf025119f0de25ee589b706c09c8bb46d5a48|https://github.com/ImageMagick/ImageMagick/commit/933bf025119f0de25ee589b706c09c8bb46d5a48|CWE-125|CVE-2019-13299|4d6e2f6d6390ac4d3cb889053dc2ca3053a8e2bf|201|2019-06-23 15:22:37-04:00|2020-01-10 20:33:38-05:00
76|ImageMagick|e88532bd4418e95b70cbc415fe911d22ab27a5fd|https://github.com/ImageMagick/ImageMagick/commit/e88532bd4418e95b70cbc415fe911d22ab27a5fd|CWE-190|CVE-2020-27757|f60d59cc3a7e3402d403361e0985ffa56f746a82|3|2019-10-03 18:53:56-04:00|2019-10-07 18:06:53-04:00
29|ImageMagick|1f450bb5ba53d275de6d1cd086c98a0b549ad393|https://github.com/ImageMagick/ImageMagick/commit/1f450bb5ba53d275de6d1cd086c98a0b549ad393|CWE-787|CVE-2020-25664|a9d563d3d73874312080d30dc4ba07cecad56192|10|2019-10-04 19:09:18-04:00|2019-10-14 19:31:12-04:00
66|ImageMagick|be90a5395695f0d19479a5d46b06c678be7f7927|https://github.com/ImageMagick/ImageMagick/commit/be90a5395695f0d19479a5d46b06c678be7f7927|CWE-190|CVE-2020-27770|f470abc2103133f7b598c9cb403dc7614dfebef1|3|2019-10-05 08:55:54-04:00|2019-10-08 09:09:53-04:00
80|ImageMagick|f0a8d407b2801174fd8923941a9e7822f7f9a506|https://github.com/ImageMagick/ImageMagick/commit/f0a8d407b2801174fd8923941a9e7822f7f9a506|CWE-190|CVE-2020-27758|eb0882667cddc4ea71b61a583a782c430220faf4|870|2019-10-05 09:45:04-04:00|2022-02-21 11:55:43-05:00
73|ImageMagick|d44f8a35558951a21367d306a42e5a097f3a43fe|https://github.com/ImageMagick/ImageMagick/commit/d44f8a35558951a21367d306a42e5a097f3a43fe|CWE-190|CVE-2020-27759|7b058696133c6d36e0b48a454e357482db71982e|6|2019-10-05 09:50:46-04:00|2019-10-11 20:20:19-04:00
37|ImageMagick|406da3af9e09649cda152663c179902edf5ab3ac|https://github.com/ImageMagick/ImageMagick/commit/406da3af9e09649cda152663c179902edf5ab3ac|CWE-190|CVE-2020-25676|705a60a54db97c9a56b3ae78796223e9468097a3|443|2019-10-08 18:35:29-04:00|2020-12-25 11:00:42-05:00
56|ImageMagick|a2166bfb1049bac4c0f7b8b5d3ef86a1f48470b2|https://github.com/ImageMagick/ImageMagick/commit/a2166bfb1049bac4c0f7b8b5d3ef86a1f48470b2|CWE-190|CVE-2020-27775|a318c2da8115312ccf2f3d5b22e5ac9e9fcc1f6d|1021|2019-10-09 19:33:30-04:00|2022-07-26 20:21:28-04:00
36|ImageMagick|3d71aa8265ffaaf686021a6fbd54c037f71ee3a2|https://github.com/ImageMagick/ImageMagick/commit/3d71aa8265ffaaf686021a6fbd54c037f71ee3a2|CWE-369|CVE-2020-27773|a855d3ad660f307fdb071794351822f9ce878c4e|504|2019-10-11 19:47:56-04:00|2021-02-27 16:02:43-05:00
53|ImageMagick|872ffe6d0131beec8b47568a4874ffaca91a872e|https://github.com/ImageMagick/ImageMagick/commit/872ffe6d0131beec8b47568a4874ffaca91a872e|CWE-190|CVE-2020-27771|9619aab80cad99b18cff384195f3995d7cbd9502|213|2019-10-14 19:38:22-04:00|2020-05-15 16:09:16-04:00
52|ImageMagick|868aad754ee599eb7153b84d610f2ecdf7b339f6|https://github.com/ImageMagick/ImageMagick/commit/868aad754ee599eb7153b84d610f2ecdf7b339f6|CWE-125|CVE-2020-10251|96ae9066b001ff951c6a3c936081bacfaa69935f|746|2020-03-03 22:52:16+01:00|2022-03-20 13:48:09-04:00
51|ImageMagick|824f344ceb823e156ad6e85314d79c087933c2a0|https://github.com/ImageMagick/ImageMagick/commit/824f344ceb823e156ad6e85314d79c087933c2a0|CWE-125|CVE-2020-13902|9f44f1eb60a7669a0fd07ffb3086ba2075b8dd11|399|2020-06-13 17:53:45+02:00|2021-07-18 09:54:06+02:00
45|ImageMagick|68154c05cf40a80b6f2e2dd9fdc4428570f875f0|https://github.com/ImageMagick/ImageMagick/commit/68154c05cf40a80b6f2e2dd9fdc4428570f875f0|CWE-91|CVE-2020-29599|89a1c73ee2693ded91a72d00bdf3aba410f349f1|0|2020-11-19 18:40:10+00:00|2020-11-19 20:51:39+00:00
54|ImageMagick|89a1c73ee2693ded91a72d00bdf3aba410f349f1|https://github.com/ImageMagick/ImageMagick/commit/89a1c73ee2693ded91a72d00bdf3aba410f349f1|CWE-91|CVE-2020-29599|d31c80d15a2c82fc1dd8e889e0f97b0219079a57|909|2020-11-19 20:51:39+00:00|2023-05-17 23:33:30+02:00
34|ImageMagick|329dd528ab79531d884c0ba131e97d43f872ab5d|https://github.com/ImageMagick/ImageMagick/commit/329dd528ab79531d884c0ba131e97d43f872ab5d|CWE-369|CVE-2021-20244|e7c6c1e0cf7be41e37308109a79ce25ea8b8ab75|945|2021-02-03 15:19:08-05:00|2023-09-06 21:15:51-04:00
33|ImageMagick|30ccf9a0da1f47161b5935a95be854fe84e6c2a2|https://github.com/ImageMagick/ImageMagick/commit/30ccf9a0da1f47161b5935a95be854fe84e6c2a2|CWE-703,CWE-787||1f82e81bead325f02f5d71d217452f97b864d3d3|0|2022-08-27 08:40:45-04:00|2022-08-28 08:36:21-04:00
